Institute,Branch Name,Quota,Category,Seat Pool,Rank,Percentile,Round No,University
MCOE,ELECTRICAL,HU,OBC,Gender-Neutral,83037,60.8798115,1,SPPU
MCOE,ELECTRICAL,HU,SC,Gender-Neutral,135355,13.224841,1,SPPU
MCOE,ELECTRICAL,HU,ST,Gender-Neutral,104648,45.6445719,1,SPPU
MCOE,ELECTRICAL,HU,NT1,Gender-Neutral,117862,32.8844711,1,SPPU
MCOE,ELECTRICAL,HU,NT2,Gender-Neutral,88291,56.982253,1,SPPU
MCOE,ELECTRICAL,HU,NT3,Gender-Neutral,87891,57.7272051,1,SPPU
MCOE,ELECTRICAL,HU,VJ,Gender-Neutral,130740,18.9046135,1,SPPU
MCOE,ENTC,HU,OPEN,Gender-Neutral,27940,88.6173431,1,SPPU
MCOE,ENTC,HU,OBC,Gender-Neutral,31073,87.2266503,1,SPPU
MCOE,ENTC,HU,SC,Gender-Neutral,73675,66.4309764,1,SPPU
MCOE,ENTC,HU,ST,Gender-Neutral,77034,64.2666767,1,SPPU
MCOE,ENTC,HU,NT1,Gender-Neutral,44407,81.1192722,1,SPPU
MCOE,ENTC,HU,NT2,Gender-Neutral,34404,85.8062103,1,SPPU
MCOE,ENTC,HU,NT3,Gender-Neutral,32886,86.3550668,1,SPPU
MCOE,ENTC,HU,VJ,Gender-Neutral,114089,36.5842646,1,SPPU
MCOE,MECHANICAL,HU,OPEN,Gender-Neutral,83107,60.8798115,1,SPPU
MCOE,MECHANICAL,HU,OBC,Gender-Neutral,90165,55.8997381,1,SPPU
MCOE,MECHANICAL,HU,SC,Gender-Neutral,135173,13.3162279,1,SPPU
MCOE,MECHANICAL,HU,ST,Gender-Neutral,116456,34.1818319,1,SPPU
MCOE,MECHANICAL,HU,NT1,Gender-Neutral,30852,18.8110994,1,SPPU
MCOE,MECHANICAL,HU,NT2,Gender-Neutral,103323,46.1690466,1,SPPU
MCOE,MECHANICAL,HU,NT3,Gender-Neutral,100332,48.9725355,1,SPPU
MCOE,MECHANICAL,HU,VJ,Gender-Neutral,124890,25.5459544,1,SPPU
MCOE,E & C,HU,OPEN,Gender-Neutral,23259,90.5963303,1,SPPU
MCOE,E & C,HU,OBC,Gender-Neutral,29054,88.0989788,1,SPPU
MCOE,E & C,HU,SC,Gender-Neutral,66877,69.7774101,1,SPPU
MCOE,E & C,HU,ST,Gender-Neutral,95389,52.2466614,1,SPPU
MCOE,E & C,HU,NT1,Gender-Neutral,28131,88.5133125,1,SPPU
MCOE,E & C,HU,NT2,Gender-Neutral,29055,88.0989788,1,SPPU
MCOE,E & C,HU,NT3,Gender-Neutral,33270,86.2561357,1,SPPU
MCOE,E & C,HU,VJ,Gender-Neutral,64788,71.3590844,1,SPPU
MCOE,AIML,HU,OPEN,Gender-Neutral,19309,92.2256284,1,SPPU
MCOE,AIML,HU,OBC,Gender-Neutral,20205,91.7707151,1,SPPU
MCOE,AIML,HU,SC,Gender-Neutral,50492,78.4065273,1,SPPU
MCOE,AIML,HU,ST,Gender-Neutral,25122,89.7275823,1,SPPU
MCOE,AIML,HU,NT1,Gender-Neutral,43097,82.0912919,1,SPPU
MCOE,AIML,HU,NT2,Gender-Neutral,17550,93.0014674,1,SPPU
MCOE,AIML,HU,NT3,Gender-Neutral,27212,88.8621945,1,SPPU
MCOE,AIML,HU,VJ,Gender-Neutral,36817,84.5158411,1,SPPU
MCOE,AIDS,HU,OPEN,Gender-Neutral,17809,92.8593873,1,SPPU
MCOE,AIDS,HU,OBC,Gender-Neutral,20009,91.8981572,1,SPPU
MCOE,AIDS,HU,SC,Gender-Neutral,43470,81.8534982,1,SPPU
MCOE,AIDS,HU,ST,Gender-Neutral,137815,9.283282,1,SPPU
MCOE,AIDS,HU,NT1,Gender-Neutral,36150,85.1537884,1,SPPU
MCOE,AIDS,HU,NT2,Gender-Neutral,21228,91.3774931,1,SPPU
MCOE,AIDS,HU,NT3,Gender-Neutral,37026,84.5084815,1,SPPU
MCOE,AIDS,HU,VJ,Gender-Neutral,38209,84.2081516,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,OPEN,Gender-Neutral,91065,55.2985075,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,OBC,Gender-Neutral,129006,20.9352787,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,SC,Gender-Neutral,138251,8.8688138,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,ST,Gender-Neutral,135671,12.6949825,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,NT1,Gender-Neutral,114701,36.1619626,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,NT2,Gender-Neutral,110376,39.9251777,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,NT3,Gender-Neutral,106368,43.5071268,1,SPPU
JSPM  TATHAWADE,CIVIL,HU,VJ,Gender-Neutral,102258,46.8567142,1,SPPU
JSPM  TATHAWADE,CS,HU,OPEN,Gender-Neutral,8103,96.8735271,1,SPPU
JSPM  TATHAWADE,CS,HU,OBC,Gender-Neutral,8816,96.5922225,1,SPPU
JSPM  TATHAWADE,CS,HU,SC,Gender-Neutral,19239,92.2256284,1,SPPU
JSPM  TATHAWADE,CS,HU,ST,Gender-Neutral,64506,71.3590844,1,SPPU
JSPM  TATHAWADE,CS,HU,NT1,Gender-Neutral,13658,94.616159,1,SPPU
